summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_wait_duration,total_berth_duration,total_stay_duration
2021-01-30 08:00:00+08,1,6,7,145237,633474,778711,108.41,167.47,275.88
2021-01-30 12:00:00+08,0,6,6,0,692821,692821,112.31,137.99,250.3
2021-01-30 16:00:00+08,0,6,6,0,759917,759917,112.29,120.81,233.1
2021-01-30 20:00:00+08,0,7,7,0,906938,906938,112.29,145.67,257.96
2021-01-31 00:00:00+08,0,7,7,0,906938,906938,112.29,173.67,285.96
2021-01-31 04:00:00+08,0,7,7,0,906938,906938,112.29,201.67,313.96
2021-01-31 08:00:00+08,0,7,7,0,865108,865108,112.28,195.42,307.7
2021-01-31 12:00:00+08,0,7,7,0,865108,865108,112.28,223.42,335.7
2021-01-31 16:00:00+08,0,6,6,0,749408,749408,100.92,215.15,316.07
2021-01-31 20:00:00+08,1,8,9,122959,921069,1044028,101.99,239.58,341.57
2021-02-01 00:00:00+08,0,8,8,0,937508,937508,100.95,196.75,297.7
2021-02-01 04:00:00+08,0,11,11,0,1187717,1187717,106.74,236.33,343.07
2021-02-01 08:00:00+08,0,9,9,0,975310,975310,5.79,210.31,216.1
2021-02-01 12:00:00+08,1,10,11,127076,1120870,1247946,9.2,250.28,259.48
2021-02-01 16:00:00+08,1,10,11,127076,1120870,1247946,13.2,290.28,303.48
2021-02-01 20:00:00+08,2,10,12,230967,1120870,1351837,18.82,330.28,349.1
2021-02-02 00:00:00+08,2,10,12,230967,1120870,1351837,26.82,370.28,397.1
2021-02-02 04:00:00+08,2,10,12,230967,1120870,1351837,34.82,410.28,445.1
2021-02-02 08:00:00+08,2,10,12,230967,1120870,1351837,42.82,450.28,493.1
2021-02-02 12:00:00+08,2,10,12,230967,1120870,1351837,50.82,490.28,541.1
2021-02-02 16:00:00+08,2,10,12,230967,1120870,1351837,58.82,530.28,589.1
2021-02-02 20:00:00+08,2,10,12,230967,1120870,1351837,66.82,570.28,637.1
2021-02-03 00:00:00+08,2,10,12,230967,1120870,1351837,74.82,610.28,685.1
2021-02-03 04:00:00+08,5,9,14,513952,1018114,1532066,88.4,525.61,614.01
2021-02-03 08:00:00+08,5,11,16,513952,1142213,1656165,108.41,563.56,671.97
2021-02-03 12:00:00+08,5,10,15,513952,1033907,1547859,128.4,543.15,671.55
2021-02-03 16:00:00+08,5,11,16,513952,1182630,1696582,148.41,585,733.41
2021-02-03 20:00:00+08,6,10,16,564581,1139533,1704114,170.29,615.64,785.93
2021-02-04 00:00:00+08,6,10,16,564581,1139533,1704114,194.29,655.64,849.93
2021-02-04 04:00:00+08,6,9,15,564581,1058531,1623112,218.28,675.05,893.33
2021-02-04 08:00:00+08,7,10,17,666883,1175382,1842265,245.8,712.43,958.23
2021-02-04 12:00:00+08,7,10,17,666883,1175382,1842265,273.8,752.43,1026.23
2021-02-04 16:00:00+08,6,10,16,562992,1175382,1738374,232.2,792.43,1024.63
2021-02-04 20:00:00+08,6,11,17,562992,1279273,1842265,329.26,832.97,1162.23
2021-02-05 00:00:00+08,6,13,19,562992,1408172,1971164,353.24,937.15,1290.39
2021-02-05 04:00:00+08,5,13,18,468363,1408172,1876535,325.54,989.15,1314.69
2021-02-05 08:00:00+08,9,14,23,777737,1502801,2280538,408.6,1043.25,1451.85
2021-02-05 12:00:00+08,9,14,23,777737,1502801,2280538,444.6,1099.25,1543.85
2021-02-05 16:00:00+08,8,13,21,699647,1459704,2159351,458.66,1097.89,1556.55
2021-02-05 20:00:00+08,7,12,19,597345,1384511,1981856,451.11,803.39,1254.5
